iter	Logloss
0	0.6433486305
1	0.5987757264
2	0.5589368731
3	0.5233433661
4	0.4915921326
5	0.4632680041
6	0.4380061513
7	0.4154258504
8	0.3953224002
9	0.3773949264
10	0.3613930295
11	0.3471031695
12	0.334334894
13	0.3229190431
14	0.3127054817
15	0.303561086
16	0.2953678913
17	0.2880197042
18	0.281427453
19	0.2754522105
20	0.27013403
21	0.2653475751
22	0.261223727
23	0.2570457401
24	0.2535443046
25	0.2481649938
26	0.2440910755
27	0.240263504
28	0.2324949219
29	0.2278902727
30	0.2248957499
31	0.2216044628
32	0.2125040764
33	0.2100566053
34	0.2072521699
35	0.2038846771
36	0.2011738747
37	0.198140106
38	0.1953584698
39	0.1933862586
40	0.19113512
41	0.1898050747
42	0.1834303828
43	0.1822007811
44	0.1805442658
45	0.1795791612
46	0.1742966381
47	0.1696876669
48	0.1687993343
49	0.1676661891
50	0.1668713057
51	0.1663134103
52	0.1657274373
53	0.1651958433
54	0.1631751238
55	0.1627596791
56	0.1623559296
57	0.1616804854
58	0.1611272567
59	0.1605523031
60	0.1603598112
61	0.1599117099
62	0.1595365183
63	0.1592716469
64	0.1587073496
65	0.1582393201
66	0.1578649665
67	0.1575824029
68	0.1561164317
69	0.1560682147
70	0.1557996349
71	0.1542953376
72	0.1514369415
73	0.1510759578
74	0.150843103
75	0.1507102236
76	0.1502755669
77	0.1501185053
78	0.149205779
79	0.1485252226
80	0.1477769607
81	0.1477769527
82	0.1474349917
83	0.147287512
84	0.1470835805
85	0.1467794085
86	0.1465117358
87	0.1460688466
88	0.1459001439
89	0.145652599
90	0.1445830232
91	0.1441730043
92	0.1438736519
93	0.1437427676
94	0.1435620846
95	0.1432385122
96	0.1431555661
97	0.1412497435
98	0.1411508707
99	0.1409253053
100	0.1407928375
101	0.1390795595
102	0.1387778204
103	0.1386009442
104	0.1378954483
105	0.1378536704
106	0.1376791879
107	0.1375691708
108	0.1370295316
109	0.1369514495
110	0.1368137637
111	0.1365711907
112	0.1362646611
113	0.1361915098
114	0.1359155828
115	0.1354707302
116	0.1353690598
117	0.1353538157
118	0.135276106
119	0.1347671232
120	0.1346967205
121	0.1346121346
122	0.13446599
123	0.1343682513
124	0.1342649204
125	0.1341710452
126	0.1339969379
127	0.1339969379
128	0.1339343
129	0.1338198631
130	0.1336915843
131	0.1336273966
132	0.1336273918
133	0.1334447601
134	0.1333645358
135	0.1332398494
136	0.1331203433
137	0.1330070393
138	0.1329244981
139	0.132529907
140	0.1325108304
141	0.1325064097
