iter	Logloss
142	0.1323237096
143	0.1321363187
144	0.1320610897
145	0.132029176
146	0.1320028839
147	0.1318758164
148	0.1317984313
149	0.1317625283
150	0.1317410636
151	0.1317248607
152	0.1316599064
153	0.1315175767
154	0.131490933
155	0.1314249403
156	0.1313965204
157	0.1313736746
158	0.1313515724
159	0.131215037
160	0.1306983558
161	0.1306907621
162	0.1303821638
163	0.1303334019
164	0.1301691889
165	0.1301691853
166	0.1301334683
167	0.1300432302
168	0.1300105581
169	0.1299989964
170	0.1299712923
171	0.1299643536
172	0.1299222087
173	0.1298506229
174	0.1298300901
175	0.1298300856
176	0.1298272993
177	0.1297981514
178	0.1297530024
179	0.1297347911
180	0.1294177473
181	0.1293536513
182	0.1293065047
183	0.1291910157
184	0.1291848181
185	0.1291539773
186	0.1291391565
187	0.1290709251
188	0.1289952719
189	0.1289519803
190	0.1289276849
191	0.12888549
192	0.1286624488
193	0.1286624346
194	0.12865209
195	0.1285990953
196	0.1275364593
197	0.1274736769
198	0.1265406706
199	0.1264844908
200	0.1263892191
201	0.1263494477
202	0.1261120195
203	0.1260517989
204	0.1260475536
205	0.1259145052
206	0.1259058625
207	0.1258487913
208	0.1257944251
209	0.1257701337
210	0.1256779781
211	0.1255434105
212	0.1252826827
213	0.1252001398
214	0.1251146546
215	0.1250284305
216	0.1249453789
217	0.1249324009
218	0.1248239994
219	0.1248131272
220	0.1247803974
221	0.1246992765
222	0.1240300338
223	0.1240067243
224	0.1237479354
225	0.123583352
226	0.1234309149
227	0.1233693381
228	0.123265786
229	0.1232345181
230	0.1230804636
231	0.1220566906
232	0.1219391166
233	0.1218353173
234	0.1216959784
235	0.1216334834
236	0.1215827976
237	0.121492696
238	0.1213744451
239	0.1211302835
240	0.1210246116
241	0.1209631745
242	0.1208331081
243	0.1207489311
244	0.1206996115
245	0.1206418207
246	0.1206403657
247	0.1200761691
248	0.1200552412
249	0.1199480856
250	0.1198940068
251	0.1192009534
252	0.1191931449
253	0.1190780597
254	0.119059532
255	0.1189989199
256	0.1189330689
257	0.1182284298
258	0.1179633552
259	0.1177301268
260	0.1172996778
261	0.1172192684
262	0.1170819083
263	0.1168971506
264	0.1165111204
265	0.116261498
266	0.1162063745
267	0.1160324574
268	0.1159873519
269	0.1159084957
270	0.1157721605
271	0.1156736309
272	0.1156102286
273	0.1155852446
274	0.1150409036
275	0.1150004104
276	0.114931443
277	0.1147885417
278	0.1145823868
279	0.1140998814
280	0.1140088466
281	0.1138594233
282	0.1137435701
283	0.1136774375
284	0.113616765
285	0.1135161528
286	0.1131242354
287	0.1130756699
288	0.1130414255
289	0.1129355469
290	0.1129113143
291	0.112869533
292	0.1128225273
293	0.1127433258
294	0.112698692
295	0.1126286896
296	0.1125460624
297	0.112502191
298	0.1124656113
299	0.1124102783
300	0.1123641127
301	0.1122644007
302	0.1121989456
303	0.112161651
304	0.112125525
305	0.1120403329
306	0.112023987
307	0.1119301252
308	0.1119252579
309	0.1118346099
310	0.1117734049
311	0.1117401688
312	0.1117060816
313	0.1116584951
314	0.1116145567
315	0.1115565335
316	0.1114197928
317	0.1111479642
318	0.1111437672
319	0.111130631
320	0.1110731973
321	0.1110088795
322	0.1109743696
323	0.1109695086
324	0.1109153752
325	0.1108743254
326	0.1108513752
327	0.110818416
328	0.1107664642
329	0.1106979839
330	0.1106049382
331	0.1105561089
332	0.1104821538
333	0.1104713314
334	0.1103593968
335	0.1102514364
336	0.1101893015
337	0.1101076382
338	0.1100705513
339	0.1097773563
340	0.1097523451
341	0.1097487424
342	0.1097095335
343	0.109670639
344	0.1095690143
345	0.1095366078
346	0.1095221485
347	0.1094732181
348	0.1094130557
349	0.1092953986
350	0.1092594426
351	0.109219729
352	0.1091812159
353	0.1091490472
354	0.1090686775
355	0.109033266
356	0.1090093712
357	0.10899171
358	0.1089382763
359	0.1089309708
360	0.1088864273
361	0.1088719113
362	0.1087946388
363	0.1087528955
364	0.1086805301
365	0.1086711536
366	0.1086494573
367	0.1085947863
368	0.1085742864
369	0.1085457381
370	0.1085259389
371	0.1084674082
372	0.1084434346
373	0.1084205594
374	0.1083332719
375	0.1082998481
376	0.1082532223
377	0.1082116738
378	0.1082031747
379	0.1079832379
380	0.1079683773
381	0.1079615274
382	0.1078838714
383	0.1078459129
384	0.1077941433
385	0.107757971
386	0.1077138647
387	0.1076925314
388	0.1076709649
389	0.107665111
390	0.1076282809
391	0.1075616513
392	0.1075273722
393	0.1075209755
394	0.1074844895
395	0.1074418568
396	0.1073844512
397	0.1073780746
398	0.1073418245
399	0.1073303734
400	0.1072915922
401	0.107251793
402	0.107221705
403	0.1072011342
404	0.1071676454
405	0.1071062111
406	0.1070751552
407	0.1069839449
408	0.1069335488
409	0.1069131001
410	0.1068782548
411	0.1068263774
412	0.1067783345
413	0.1067367415
414	0.1067025525
415	0.1066708693
416	0.1066271551
417	0.1065955126
418	0.1063899743
419	0.1063561556
420	0.1062939222
421	0.1062664717
422	0.1062372962
423	0.1061299151
424	0.1061102122
425	0.1060953467
426	0.1060051076
427	0.1059734555
428	0.1059355196
429	0.105640163
430	0.1056143906
431	0.1055261947
432	0.1054851548
433	0.1053704048
434	0.1053390051
435	0.1053203993
436	0.1053054973
437	0.1052629009
438	0.1052624491
439	0.1052376148
440	0.1051856433
441	0.1051715116
442	0.105132103
443	0.1050808807
444	0.1050196333
445	0.1049833135
446	0.1049624778
447	0.1049555461
448	0.1048838869
449	0.1048678568
450	0.1048293932
451	0.1047535124
452	0.1047136149
453	0.1046601291
454	0.1046436572
455	0.1046051381
456	0.1045720521
457	0.104551665
458	0.1045067853
459	0.1044429869
460	0.1044358598
461	0.1043649726
462	0.1043509858
463	0.1043462831
464	0.1042361587
465	0.1041608004
466	0.1041299192
467	0.1040502398
468	0.1039930623
469	0.1039766391
470	0.1039542911
471	0.1039351433
472	0.1038903325
473	0.1037564947
474	0.1036774512
475	0.103647883
476	0.10362025
477	0.1035757975
478	0.1035493677
479	0.1034938878
480	0.1033904884
481	0.1032798968
482	0.1032523374
483	0.1032492012
484	0.1032105918
485	0.1031857791
486	0.103172763
487	0.1031147266
488	0.103080518
489	0.1030427142
490	0.1029980478
491	0.1029830549
492	0.1029070719
493	0.1028933965
494	0.1028478914
495	0.1028173116
496	0.1027735048
497	0.1026949262
498	0.1026528135
499	0.1026206078
500	0.1026045903
501	0.1025755774
502	0.1025115641
503	0.1024786
504	0.1024282712
505	0.1024009854
506	0.1023819783
507	0.1023565792
508	0.1023418475
509	0.1022916417
510	0.1022815656
511	0.102270702
512	0.1022363112
513	0.1022312983
514	0.102197019
515	0.1021610541
516	0.1021238418
517	0.1020906077
518	0.1020862323
519	0.1020091836
520	0.1018266431
521	0.101794825
522	0.1017447806
523	0.101682208
524	0.1016196654
525	0.1015936641
526	0.1015359667
527	0.1015065481
528	0.1014957247
529	0.1014735609
530	0.101456335
531	0.101420561
532	0.1013666676
533	0.1013352776
534	0.1012809549
535	0.1012717059
536	0.1012323425
537	0.1011826583
538	0.1011738202
539	0.1011442376
540	0.1011106148
541	0.1010720523
542	0.1010406972
543	0.1010228839
544	0.1009698388
545	0.1009481559
546	0.1009107604
547	0.1008657546
548	0.1008154411
549	0.1007761204
550	0.1007324165
551	0.1007253711
552	0.1006942284
553	0.1006497017
554	0.1006090768
555	0.1006090573
556	0.1005682706
557	0.1005450855
558	0.100490428
559	0.1004733125
560	0.1004385941
561	0.1003887584
562	0.1003821711
563	0.1003595872
564	0.1003382211
565	0.1003104965
566	0.100279523
567	0.1002593892
568	0.1002282049
569	0.100200065
570	0.1000070874
571	0.09998412188
572	0.09993671586
573	0.09992057401
574	0.09987170339
575	0.09984534723
576	0.09982341075
577	0.09978812082
578	0.09974239413
579	0.09973017329
580	0.09972799258
581	0.09972593556
582	0.09969004207
583	0.0996808388
584	0.09961736742
585	0.09957571879
586	0.09955050437
587	0.09953991134
588	0.09947416314
589	0.09943278118
590	0.09939777502
591	0.09936648393
592	0.09934338183
593	0.09929743592
594	0.09929254979
595	0.0992329721
596	0.09919903009
597	0.09915248022
598	0.0990839446
599	0.09906384352
600	0.09901245148
601	0.0989774062
602	0.09895550297
603	0.09892896842
604	0.09887542628
605	0.09885380204
606	0.09881580321
607	0.09876711248
608	0.09867616277
609	0.09863205007
610	0.0985854291
611	0.09856994521
612	0.09853338607
613	0.09848928053
614	0.0984585275
615	0.09843246466
616	0.09842469718
617	0.09836111905
618	0.09833539497
619	0.09829324744
620	0.0982441834
621	0.09822692835
622	0.09819639185
623	0.09814428768
624	0.09810794658
625	0.09807480941
626	0.09802622451
627	0.09798019869
628	0.09795178703
629	0.09791132845
630	0.09790357173
631	0.09781165793
632	0.09776231267
633	0.09772124603
634	0.09767545006
635	0.09762672904
636	0.09760767212
637	0.09758117213
638	0.09755735317
639	0.09752140688
640	0.09750375236
641	0.09744760387
642	0.097426817
643	0.0974040767
644	0.09736260478
645	0.09731386804
646	0.09729421021
647	0.09725014354
648	0.09724149074
649	0.09720444686
650	0.09717221145
651	0.09714562195
652	0.09712861686
653	0.09710509294
654	0.09705871854
655	0.09704674305
656	0.09703012091
657	0.09701162771
658	0.09696329711
659	0.09682946159
660	0.09676330145
661	0.09673353631
662	0.09671878387
663	0.09669272148
664	0.09666996816
665	0.09665306071
666	0.09664595793
667	0.09658453499
668	0.09656021978
669	0.09650840282
670	0.09646987246
671	0.09642412652
672	0.09637711684
673	0.09632070659
