iter	Passed	Remaining
406	8428	5529
407	8451	5509
408	8475	5491
409	8508	5478
410	8534	5461
411	8558	5442
412	8582	5423
413	8608	5406
414	8631	5387
415	8656	5368
416	8678	5348
417	8702	5329
418	8726	5310
419	8748	5290
420	8778	5275
421	8803	5257
422	8826	5237
423	8853	5220
424	8877	5201
425	8902	5182
426	8927	5164
427	8951	5144
428	8974	5125
429	8997	5105
430	9021	5086
431	9045	5067
432	9072	5049
433	9093	5028
434	9114	5007
435	9136	4987
436	9162	4969
437	9187	4950
438	9210	4930
439	9232	4909
440	9253	4889
441	9281	4871
442	9304	4851
443	9328	4832
444	9356	4815
445	9378	4794
446	9402	4774
447	9423	4753
448	9448	4734
449	9471	4714
450	9494	4694
451	9515	4673
452	9542	4655
453	9570	4637
454	9593	4617
455	9615	4597
456	9639	4577
457	9663	4557
458	9694	4540
459	9720	4522
460	9745	4502
461	9773	4484
462	9799	4465
463	9823	4445
464	9846	4425
465	9876	4408
466	9904	4390
467	9929	4370
468	9956	4351
469	9979	4331
470	10003	4311
471	10028	4291
472	10053	4272
473	10082	4254
474	10115	4238
475	10149	4221
476	10182	4205
477	10214	4188
478	10239	4168
479	10270	4151
480	10299	4132
481	10326	4113
482	10352	4093
483	10375	4073
484	10403	4053
485	10428	4034
486	10452	4013
487	10481	3995
488	10507	3975
489	10533	3955
490	10561	3936
491	10585	3915
492	10614	3897
493	10642	3877
494	10669	3858
495	10696	3838
496	10718	3817
497	10741	3796
498	10769	3776
499	10795	3756
500	10823	3737
501	10846	3716
502	10875	3697
503	10900	3676
504	10932	3658
505	10966	3641
506	10995	3621
507	11020	3601
508	11046	3581
509	11078	3562
510	11103	3541
511	11127	3520
512	11149	3499
513	11171	3477
514	11195	3456
515	11219	3435
516	11240	3413
517	11263	3392
518	11287	3370
519	11310	3349
520	11331	3327
521	11356	3306
522	11379	3285
523	11405	3264
524	11429	3243
525	11455	3223
526	11478	3201
527	11502	3180
528	11529	3160
529	11558	3140
530	11583	3119
531	11610	3098
532	11635	3078
533	11659	3056
534	11682	3035
535	11706	3013
536	11731	2992
537	11759	2972
538	11781	2950
539	11805	2929
540	11834	2909
541	11864	2889
542	11889	2868
543	11914	2847
544	11937	2825
545	11962	2804
546	11986	2782
547	12009	2761
548	12036	2740
549	12060	2719
550	12087	2698
551	12111	2676
552	12140	2656
553	12163	2634
554	12188	2613
555	12211	2591
556	12238	2570
557	12266	2550
558	12294	2529
559	12318	2507
560	12344	2486
561	12371	2465
562	12396	2444
563	12423	2422
564	12448	2401
565	12477	2380
566	12499	2358
567	12525	2337
568	12549	2315
569	12574	2294
570	12596	2272
571	12616	2249
572	12637	2227
573	12659	2205
574	12686	2184
575	12710	2162
576	12735	2140
577	12759	2119
578	12786	2097
579	12812	2076
580	12836	2054
581	12859	2032
582	12889	2011
583	12920	1991
584	12942	1969
585	12967	1947
586	12992	1925
587	13018	1904
588	13047	1882
589	13071	1861
590	13103	1840
591	13127	1818
592	13155	1796
593	13182	1775
594	13207	1753
595	13234	1732
596	13258	1710
597	13282	1688
598	13311	1666
599	13338	1645
600	13360	1622
601	13386	1601
602	13408	1578
603	13431	1556
604	13457	1534
605	13481	1512
606	13504	1490
607	13530	1468
608	13556	1446
609	13582	1425
610	13605	1402
611	13630	1380
612	13654	1358
613	13675	1336
614	13697	1314
615	13719	1291
616	13743	1269
617	13767	1247
618	13788	1225
619	13813	1203
620	13837	1180
621	13862	1158
622	13884	1136
623	13908	1114
624	13932	1092
625	13958	1070
626	13981	1048
627	14002	1025
628	14023	1003
629	14049	981
630	14072	959
631	14095	936
632	14121	914
633	14144	892
634	14168	870
635	14192	847
636	14216	825
637	14239	803
638	14263	781
639	14286	758
640	14309	736
641	14334	714
642	14358	692
643	14380	669
644	14404	647
645	14426	625
646	14450	603
647	14472	580
648	14493	558
649	14516	535
650	14537	513
651	14548	490
652	14570	468
653	14594	446
654	14615	423
655	14638	401
656	14658	379
657	14681	356
658	14705	334
659	14734	312
660	14755	290
661	14780	267
662	14802	245
663	14826	223
664	14851	201
665	14875	178
666	14900	156
667	14923	134
668	14934	111
669	14955	89
670	14979	66
671	15002	44
672	15027	22
673	15047	0
